07-04-2026 16:51:18 | GET | cafeteria-api/pedidos
07-04-2026 16:51:30 | POST | cafeteria-api/pedidos
07-04-2026 16:51:30 | GET | cafeteria-api/pedidos
07-04-2026 16:51:39 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 16:51:39 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:40 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:41 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:41 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:41 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:41 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:42 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:42 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:42 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:43 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:44 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:44 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:44 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:44 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 16:51:44 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:45 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:45 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:45 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:46 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:46 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:51:47 | GET | cafeteria-api/pedidos
07-04-2026 16:52:05 | POST | cafeteria-api/pedidos
07-04-2026 16:52:05 | GET | cafeteria-api/pedidos
07-04-2026 16:52:06 | OPTIONS | cafeteria-api/pedidos/6
07-04-2026 16:52:06 | DELETE | cafeteria-api/pedidos/6
07-04-2026 16:52:09 | GET | cafeteria-api/pedidos
07-04-2026 16:52:12 | POST | cafeteria-api/pedidos
